Alloy,,Welding speed,Rotation speed,Plate thickness,Shoulder radius,Axial pressure,Pin root radius,Pin tip radius,Tilt angle,Thermal diffusivity,Yield strength,Void-1 void free-0,Refs
,,m/s,rps,m,m,Mpa,m,m,degree,m2/s,Mpa,,
1,2024,5.83E-04,13.33,0.004,0.01,13.00 *,0.0031,0.0009,2,4.97E-05,324,1,6
2,2024,1.17E-03,13.33,0.004,0.01,13.00 *,0.0031,0.0009,2,4.97E-05,324,1,6
3,2024,2.33E-03,13.33,0.004,0.01,13.00 *,0.0031,0.0009,2,4.97E-05,324,1,6
4,2024,5.83E-04,16.67,0.004,0.01,13.00 *,0.0031,0.0009,2,4.97E-05,324,1,6
5,2024,1.17E-03,16.67,0.004,0.01,13.00 *,0.0031,0.0009,2,4.97E-05,324,1,6
6,2024,2.33E-03,16.67,0.004,0.01,13.00 *,0.0031,0.0009,2,4.97E-05,324,1,6
7,2024,5.83E-04,20,0.004,0.01,13.00 *,0.0031,0.0009,2,4.97E-05,324,1,6
8,2024,1.17E-03,20,0.004,0.01,13.00 *,0.0031,0.0009,2,4.97E-05,324,1,6
9,2024,2.33E-03,20,0.004,0.01,13.00 *,0.0031,0.0009,2,4.97E-05,324,1,6
10,2024,5.83E-04,23.33,0.004,0.01,13.00 *,0.0031,0.0009,2,4.97E-05,324,0,6
11,2024,1.17E-03,23.33,0.004,0.01,13.00 *,0.0031,0.0009,2,4.97E-05,324,0,6
12,2024,2.33E-03,23.33,0.004,0.01,13.00 *,0.0031,0.0009,2,4.97E-05,324,0,6
13,2024,5.83E-04,26.67,0.004,0.01,13.00 *,0.0031,0.0009,2,4.97E-05,324,0,6
14,2024,1.17E-03,26.67,0.004,0.01,13.00 *,0.0031,0.0009,2,4.97E-05,324,0,6
15,2024,2.33E-03,26.67,0.004,0.01,13.00 *,0.0031,0.0009,2,4.97E-05,324,0,6
16,2024,7.50E-04,20,0.006,0.009,7.86,0.003,0.003,2*,4.97E-05,324,1,7
17,2024,1.25E-03,16.68,0.006,0.009,7.86,0.003,0.003,2*,4.97E-05,324,1,7
18,2024,1.25E-03,18.34,0.006,0.009,7.86,0.003,0.003,2*,4.97E-05,324,1,7
19,2024,1.25E-03,20,0.006,0.009,7.86,0.003,0.003,2*,4.97E-05,324,0,7
20,2024,1.25E-03,21.68,0.006,0.009,7.86,0.003,0.003,2*,4.97E-05,324,0,7
21,2219,1.25E-03,23.35,0.006,0.009,7.86,0.003,0.003,2*,4.97E-05,324,0,7
22,2219,1.67E-03,20,0.006,0.009,7.86,0.003,0.003,2*,4.97E-05,324,0,7
23,2219,9.16E-04,5,0.003,0.01,8.00 *,0.0031,0.0009,2,4.97E-05,324,1,8
24,2219,6.66E-04,8.33,0.003,0.01,8.00 *,0.0031,0.0009,2,4.97E-05,324,0,8
25,2219,9.16E-04,8.33,0.003,0.01,8.00 *,0.0031,0.0009,2,4.97E-05,324,0,8
26,2219,1.33E-03,11.67,0.004,0.009,13.00 *,0.003,0.003,2*,4.97E-05,324,1,9
27,2219,1.67E-03,11.67,0.004,0.009,13.00 *,0.003,0.003,2*,4.97E-05,324,1,9
28,2219,2.08E-03,11.67,0.004,0.009,13.00 *,0.003,0.003,2*,4.97E-05,324,1,9
29,2219,2.67E-03,11.67,0.004,0.009,13.00 *,0.003,0.003,2*,4.97E-05,324,1,9
30,2219,3.33E-03,11.67,0.004,0.009,13.00 *,0.003,0.003,2*,4.97E-05,324,1,9
31,2219,1.33E-03,15,0.004,0.009,13.00 *,0.003,0.003,2*,4.97E-05,324,0,9
32,2219,1.67E-03,15,0.004,0.009,13.00 *,0.003,0.003,2*,4.97E-05,324,0,9
33,2219,2.08E-03,15,0.004,0.009,13.00 *,0.003,0.003,2*,4.97E-05,324,0,9
34,2219,2.67E-03,15,0.004,0.009,13.00 *,0.003,0.003,2*,4.97E-05,324,0,9
35,2219,3.33E-03,15,0.004,0.009,13.00 *,0.003,0.003,2*,4.97E-05,324,1,9
36,2219,4.17E-03,15,0.004,0.009,13.00 *,0.003,0.003,2*,4.97E-05,324,1,9
37,2219,1.67E-03,18.67,0.004,0.009,13.00 *,0.003,0.003,2*,4.97E-05,324,0,9
38,2219,2.08E-03,18.67,0.004,0.009,13.00 *,0.003,0.003,2*,4.97E-05,324,0,9
39,2219,1.67E-03,2.5,0.00635,0.0075,13.00 *,0.003,0.003,2*,4.89E-05,352,1,10
40,2219,1.67E-03,3.33,0.00635,0.0075,13.00 *,0.003,0.003,2*,4.89E-05,352,1,10
41,2219,1.67E-03,4.17,0.00635,0.0075,13.00 *,0.003,0.003,2*,4.89E-05,352,1,10
42,2219,1.67E-03,6.67,0.00635,0.0075,13.00 *,0.003,0.003,2*,4.89E-05,352,0,10
43,2219,1.67E-03,10,0.00635,0.0075,13.00 *,0.003,0.003,2*,4.89E-05,352,0,10
